檔名,客語漢字
ktwue8w54j.wav,阿爾伯爾同厥爸个交通工具單淨係騎馬毋過唯一个好理由係吉爾吉斯位在中國同哈薩克个交界看啊過去總下係歸大片个山
lgf930ms34.wav,在雪地下有生杜松阿爾伯爾厥姆請屋家盡細漢个佢替佢摘兜轉來
bqq51ra121.wav,兩日進前狼群㓾死隔壁村个馬
go0t0d80x8.wav,為著保護厥等个牛群阿爾伯爾厥爸來照顧厥等个牛所以佢今晡無去學校佢同厥爸作伴
17mrfu6lu3.wav,厥等尋著狼群个腳跡斯在厥等屋家附近
7zzn1pc55q.wav,像佢恁泥个年歲這係一個生存个問題可比狼群其中一隻个狼著著綹其他个狼斯會走撇會遠離這位在阿爾伯爾上學个前一日
0m7u46n4eg.wav,會做兜預防措施
rmsddpg2n0.wav,阿爾伯爾當中意厥馬布魯係佢个好伴毋單淨係恁泥乜係佢去學校唯一个交通工具
1nhfxj684f.wav,阿爾伯爾當細漢个時節總係看緊厥姆用完全共款个方式做這件事情為著淨化屋佢開始向四周圍燒杜松對東片開始到北片結束
egbotwpuqx.wav,厥等屋家个細屋無水無電厥等定著愛對埋在雪地項个河壩水來取水
7edtksmuxa.wav,阿爾伯爾係佢該兜還吂去學校讀書个表老弟表老妹心肝肚个英雄佢對這種个關心試著當沙鼻乜當歡喜來紹介上學个半爛燦堵著个冒險
xgk0avacey.wav,這係激發厥表老弟想愛讀書個好方式
0517k9bwki.wav,阿爾伯爾朝脣出門去學校厥姆當愁厥个安全厥倈做下愛看天時還有自家一個人行增加當多个挑戰性毋管堵到仰脣樣个狀況
dlh9437izm.wav,厥倈定著愛自家來面對
8qvlnyu835.wav,佢愛聽厥倈講毋使愁忒多還有佢乜會準時到學校
oh1r7ta4oc.wav,佢為將來成功所做个努力
qc8r0x9nt4.wav,盡重要斯係愛分厥爸相信可比阿爾伯爾成功在學業方面將來會有當好个未來這點當重要
kn1b4wztcz.wav,阿爾伯爾當好戴在這片位在中亞圍緊个壯麗景色毋過教育分佢開拓視野在厥心肝肚个深處有另外一種想望乜慢慢產生
9k4ei1a3vg.wav,都算佢當好這兜山毋過佢乜疑狐敢使得延續厥爺哀个生活方式佢可能會做出離開个決定
sx7ywfxb0j.wav,阿爾伯爾決定繼續接受高等教育變做一個電腦工程師
090ps16ike.wav,佢身為吉爾吉斯人試著當光榮乜當歡喜來研究自家族群个歷史還有厥个出身過還有該兜人為著國家獨立來奮戰个偉大事蹟
dzwzflzwih.wav,毋過盡重要个斯係佢當好聽阿爸童年个歌這兜民歌分厥遊牧民族个祖公還較使得將厥等个生活並騎馬个熱情延續落來
phkakrmbuk.wav,斯係使毋得離開馬這係唯一个盡高原則
bgqzolnwa4.wav,正開始頭前幾公里个路程總係分人試著係一場冒險係一種分人當暢个責任感還有無愁無慮个感覺阿爾伯爾同厥馬布魯
xmwmk0p01h.wav,培養出一種當好个默契佢同布魯逐日來回學校个路線有當多厥等當好个祕密所在有自由在田野項走有食水个河壩水
bb7mujrd3y.wav,還有狼群會出現个地區厥等互相依賴著對方
ki1c9jbfuq.wav,在這兜荒野个所在略略無注意斯會無命
wslqksokv0.wav,若講河壩面頂个冰落撇了斯無人會來救厥等布魯當愁毋過阿爾伯爾毋係驚狼群佢還較驚跌倒佢透過鼓勵布魯
ortuox2c06.wav,分佢自家較安心
9x9phdgw6b.wav,厥等在路項點半點鐘了逐擺个挑戰總下會分厥等浪費當多个時間這當難去料想會發生麼个狀況厥等還有時間
y8z17mrhmo.wav,毋過干若完成一半了
rprxaz7cto.wav,毋管阿爾伯爾對這條路有幾熟絡逐擺去學校个路總係有危險个可能無斯驚喜做下無共款
d8e3xaemr4.wav,可能看起來無麼像毋過野生漿果係盡大个寶藏厥等值得浪費寶貴个幾分鐘
plfl9yhf64.wav,阿爾伯爾破壞盡高原則離開布魯了在這歸大片白色个沙漠肚佢知若講無馬佢會分佢自家在危險肚
0ahk6aek25.wav,阿爾伯爾當罕這種走个感覺當自由有一種分佢同所有个緊張情緒放落來个自由騎馬盤過吉爾吉斯山脈
7fu4x904mg.wav,阿爾伯爾既經到厥目標了佢到厥姊个屋家佢同厥奶戴在另外一個庄頭斯係這个時節佢離開布魯
98178chgve.wav,去學校之前佢去尋厥同學
ojn0z05es8.wav,山肚後生个騎士一下斯變做學生
06xbdbd3gz.wav,放學了後佢愛騎緊厥馬共下轉去屋家个路
3u79cjuy85.wav,阿爾伯爾同厥朋友見面个時節佢毋會著切無照阿爸个方式
ybkcv21de6.wav,逐日朝脣在世界各地幾下萬個个細人踏上去學校个路厥等个夢想將會設計出世界个未來
nvej7qclob.wav,吾夢想𠊎使得去旅行比論來講𠊎想去美國
wa3vbqjf4q.wav,毋過毋單淨往𠊎想去參觀當多無共款个國家想愛去發現無共款个所在
i3iznwvhqn.wav,去了解無共款个文化
khu8i9siln.wav,該係吾夢想
viewgtvtke.wav,在印度洋馬達加斯加个西南片天時當熱富蘭克林還有奧利佛戴在這位
dzmac57iib.wav,富蘭克林係老弟佢定著愛問過阿哥奧利佛正使得駛馬車佢乜當沙鼻
cr7qw9kriy.wav,天光這兩個細阿倈斯愛去學校讀書所以今晡斯愛負責同屋家愛用著个水去庄頭肚唯一个井打水
0czwjq54on.wav,在馬達加斯加取水係一件當挑戰个事情單淨百分之十二个人口有水好食這口井係淨俐水唯一个來源乜係這地區每一個人集合个所在
r99zby5ja4.wav,兩百公斤个車這擺換奧利佛接手在馬達加斯加去學校个路程真遠這兜恁遠个路斯變做無法肚去學校主要个原因
vl8ahityfi.wav,盡重要个係當多當匱个家庭無才調分細人去讀書厥等个阿爸毋想接受恁泥个運命富蘭克林同奧利佛當好運厥等定著愛同這項任務㧡起來
2r5mqfvjg1.wav,還有有挑戰性个家務事乜係學著生活經驗个一種方式
sfapzlzffv.wav,奧利佛同富蘭克林厥爸係受過教育个人無共款个係這四分之三个人做下係文盲真不幸厥等使毋得去學校讀書愛在田項做事畜歸屋大細
wnrt3kyuhd.wav,奧利佛同厥屋家人做下有一種堅強个韌性因致草蜢過境還有長年透天个燥旱破壞著厥等个收成厥等知天光無定著有飯好吃
2u883gprsl.wav,乜有當多無確定性所以厥等在學業方面取得成就感這係成功唯一个路途這點厥等兄弟當清楚
jchp9ix62e.wav,厥等愛在這位戴歸個禮拜這兩個細阿倈愛自家獨立生活
t4jsonfb4p.wav,對富蘭克林來講這係一項挑戰
phyx4zdzrz.wav,富蘭克林總係當歡喜佢都講有一支筆還有一張紙斯罅擺咧畫圖係厥興趣
aln001ly9e.wav,另外爺哀還愛在田項做事也無恁多个有閒時間
vhxhrh1fx0.wav,當多像恁泥年歲个馬達加斯加人放棄讀書
s5z5hljn6j.wav,兩個細阿倈透過堅持落去掌握著自家个運命都算厥等繼續𢯭手牧牛厥等對未來个職業還有選擇權奧利佛想愛做醫生
9slitqn1jv.wav,富蘭克林想愛做村長
15bczd1bxy.wav,攻擊後生个馬達加斯加後生人過來綁架厥等
r02hdr0q4l.wav,有一擺厥等出去了後阿姆毋知厥等係毋係安全等歸個禮拜總算等到厥等轉來
wpqyobgjjx.wav,都算在這恁熱个天時下正開始个幾公里總係像冒險共款有一種當暢過無愁無慮个感覺兄弟兩個使得共下行係一種當幸福个事情
bjfe6yipqg.wav,奧利佛緊來緊試著無耐心這滿毋係放棄个時間
piwfid0slf.wav,可比富蘭克林繼續行奧利佛使得保證無麼幾久都有一頭大樹使得歇睏
oeoy45f7rq.wav,奧利佛个保證富蘭克林當歡喜佢使得在大樹下歇睏咧
yutn878biz.wav,在萊加監獄這位係厥等歸條路線中盡危險个一段路
m7h3r6qxzv.wav,奧利佛同富蘭克林會在確定無歪人个情況下正會繼續向前行
wu5x6wz5s1.wav,正經當得人驚都算係樹乜使得感受著當危險
