錄音檔檔名,辨認出之客語漢字
01v0pepghx,對後生个細妹來講無人講古分厥等聽毋過厥爹會鼓勵厥等煞猛做事尋著快樂
03qw9gfad7,食著幾隻草嘛毋係好啊
0517k9bwki,阿依逼日朝脣出門去學校厥姆當愁厥个安全厥倈做愛看天時還有自家一個人行增加當多个挑戰性毋管堵著仰脣樣个撞囥
06xbdbd3gz,放學了後佢愛企緊厥媽共下轉去屋家个路
07ql6yzb0h,阿依伯依離開兩點鐘咧可比了位一切當順利佢將會在半點鐘了後出現在厥書桌面頭前
090ps16ike,佢身為今日幾斯人試著當光榮乜當歡喜來研究自家族群个歷史還有厥个出身過還有該兜人為著國家獨立來奮戰个偉大事質
0ahk6aek25,阿依伯依當下這種走个感覺當自由有一種分佢同所有个緊張情緒放落來个自由騎馬盤過吉日吉斯山脈
0cfhwfl3xg,在較大漢一屑个細人離開進前愛進行盡尾个嚴禁屋家盡細漢个細人翹十夫會騎鐵馬去學校目前對佢來講
0clienyt79,這係為一分細人在全國單淨百分之二十九使得寫个後生人肚總加在這國家尋著工作个機會
0czwjq54on,在馬達家私家取水係一件當挑戰个事情單淨分分子十二個人口有水好食這口正係淨利水為一个來源乜係這地區每一個人食合个所在
0k8a0yg82n,這滿求手事利過還有幾安既經行到一半咧對三個後生个細阿妹來講恁泥个路程還算當準時
0m7u46n4eg,會做兜翼黃鑿書
0tx1svf3k5,知著風險了後嗄百裡同阿泥講當久以前無著臭腎衫个人會分節納死
0uoqh558bl,厥等無家伙定著愛尋著方式來整船項个濫空若無阿泥定著會錯過去學校个時間
0ve4o73w7f,厥爸分厥等兩箍一箍係緊急狀狀發生時使得用另外一箍係使得買糖屙痢蜂蝦鼻厥爸使得同錢分佢因致佢係所有細人肚
15b6rm7ys9,在沙漠肚水係珍貴个寶物
15bczd1bxy,攻擊後生个嘛大家斯个後生人過來放假厥等
17mrfu6lu3,厥等尋著狼群个腳脊斯在厥等屋家戽群
198d2js42k,為著免治散傷厥姆在厥面項加一層粉恁泥高分个動作係做阿姆儕展現出愁細人該照顧細人个另外一個層面
1g5hkfdqel,馬里係一個當平个國家無高山使得歇對起天嘛來講係一件好事情恁過天時當熱一般溫度差毋多係三十度厥等期二十分鐘進行當順
1m988wc65w,厥等个祖公無人年文字透過時高全身文化苗族个傳統對舅這代人來講正經當敏感厥等接受教育
1n33wb6vsr,藥食戶个未來無法度符合背肚贏人个遊牧文化咧吱高不將愛創造出全新个生活
1nhfxj684f,阿依伯依當細漢个時節總係看緊厥姆用完全共款个方式做這件事情為著盡話物佢開始銷四周圍燒渡蟲對東片開始到北片結縮
1o9he34hgf,這擺厥等單淨使得買兜燈盞油還有麵粉厥等使毋得買肉因致肉忒貴咧厥等無恁多錢來買
1u99fwlhp0,厥等知每一個聲動作影在路逐項使得尋著當多神靈祈求个所在恁泥使得分厥等个心靈平盡
1x5dgv26ax,這滿係馬來半島北海岸个朝晨七點鐘
20qwhea2y8,第二日打早天甫甫光个時節厥等兄弟兩個既經䟘床咧第一堂課在朝晨七點開始
20z70il70h,乜正經當危險毋過馬利亞當失志
2eiyj4zrll,村民盡力來維護佢毋過成路个電纜線還有一兜空過加上無撇个枋逐年這兜橋斯緊來緊歪行
2fy8b75hr2,天光佢愛自家一個人去學校佢當在感受著心肝肚共驚斯像係狼群威脅著厥个情況共款恁日百日正十二歲
2j6gv5szsz,為著交通利便起當多板橋吊橋係泥浮蟻風景中輒輒看著个部分總共有三千外板橋毋過大部分个撞囥作業毋係當好
2mmpeo8d2u,恁泥个選擇對家庭來講有當大个影響必要講服裝个事情
2mz6me4upg,用傳統个方式打魚學食在無破壞魚个範固下同魚對魚網拿出來這阿泥學著个古老智識代表厥等个獨立性毋過學校會提供佢其他个資源
2qktam4891,這四公里必毋係平地个路實際上會過較長因為厥等个莊頭在海脯一千一百公尺个山排項厥等愛穿過當深个山窩山排擱還有當竳个路
2r5mqfvjg1,還有有挑戰性个家務事乜係學著生活經驗个一種方式
2u883gprsl,乜有當多無確定性所以厥等在學業方面試得成就感這係成功唯一个路逐這點厥等兄弟當清楚
2v40qurft6,恁泥个家庭結構有佢好个一面離佢學校較近進前決定較愛行歸日个路正使得到學校佢無定著斯因致恁泥都無想去學校咧
37rdh7qtc2,藥食戶會改變路線比麼位多交尞該因為安全个問題
3cry96eb72,屙痢腹當好運使得做一個小學生佢十歲係屋家七個細人肚第二大漢个倈厥哥哥前幾年搬到城市該當時佢還係細嬰兒
3dawgzihic,天光舊个書包會過較輕毋過去學校个路程會過較長
3i0ht41ega,𠊎種一甲藥若係𠊎認真讀書𠊎想愛做先生去照顧匱人
3p8ezfrgu1,若講厥等在學校同其他學生共下个時節使得過較獨顯厥等个族群
3r2j10m0ii,去學校个路項出皮發生變化都算看著水債个時節心情總係當歡喜厥等愛離開輒輒行个細路正使得來到目的地水債
3t41ziuaos,這種當無道理个文化影響細倈厥等在當細漢个時節斯學曉仰脣抽身該係因致安全个考量厥等戴在愛輒輒出海个地區
3u79cjuy85,阿依伯依同厥朋友見面个時節緊會著賤無照阿爸个方式
3ve9aipn02,奧利福還係無放心
408qfmohm0,教育个品質爭差乜當大細人戴著偏皮个山區係為著較差个環境刻禮巴刻體卡當容限使得同厥朋友共下去學校讀書
43j5j6m3c4,𠊎希望將來𠊎細人使得去讀書
43soi3vwy6,𠊎想愛做一個醫生吾等莊頭肚有一間藥房得師食屁當毋好莊項有當多人破病咧𠊎想討兩開一間醫院
43usddeh5h,這臺鐵馬當無幾久因致佢緊靚幾下擺咧馬里阿哥會將在無當車个情況之下繼續騎鐵馬因為還有四公里个路愛行
44axn0w6qe,朝脣七點日頭幾緊出來一站時間咧逐尾个一日乜當早斯開始還係愛做緊厥開水个事
49hjxak9j5,同其他个印度學生共款得位上課个時間係拜一到拜五今晡係禮拜乜係重百答寸个四十日所以佢跈緊阿姆去遶遶嚟
4b32khog0h,行在位知个路項厥離愛當細義乜愛細心細意觀察著四周圍个環境
