錄音檔檔名,辨認出之客語漢字
01v0pepghx,對後生个細妹來講無人講古分厥等聽毋過厥爹會鼓勵厥等煞猛做事尋著快樂
03qw9gfad7,食著幾隻草蜢乜好啊
0517k9bwki,阿奶八日朝晨出門去學校厥姆當愁厥个安全厥倈做下愛看天時還有自家一個人行增加當多个挑戰勝毋管堵著仰脣樣个撞囥
06xbdbd3gz,放學了後佢愛騎緊厥媽共下轉去屋家个路
07ql6yzb0h,阿耳伯耳離開兩點鐘咧可比這位一切當順利佢將會在半點鐘了後出現在厥書桌面頭前
090ps16ike,佢身為幾人幾斯人試著當光榮乜當歡喜來研究自家族群个歷史還有厥个出身過還有該兜人為著國家獨立來奉勢个偉大事質
0ahk6aek25,阿里伯人當下這種走个感覺當自由有一種分佢同所有个緊張情勢放落來个自由起碼盤過幾日幾斯山脈
0cfhwfl3xg,在較大漢一屑个細人離開症前愛進行致尾个黏症屋家盡細漢个細人乖師傅會騎鐵馬去學校目前對佢來講
0clienyt79,這係為一分細人在全國單淨百分之二十九使得寫个後生人肚正較在這國家尋著工作个機會
0czwjq54on,在麻達家私家食水係一件當挑戰个事情單淨八分之十二个人口有水好食這口腔係淨俐水唯一个來源乜係這地區每一個人食合个所在
0k8a0yg82n,這滿舅叔姪咧過還有幾安幾經行到一半咧對三個後生个細阿妹來講恁泥个路程還算當準時
0m7u46n4eg,會做兜已防亍屎
0tx1svf3k5,知著風險了後沙巴荔同阿妮講當久以前無著綢線衫个人會分截擐死
0uoqh558bl,厥等無加伙定著尋著方式來正船項个爛空若無阿妮定著會錯過去學校个時間
0ve4o73w7f,厥爸分厥等兩箍一箍係緊急撞囥發生時使得用另外一箍係使得買糖奧里夫當儕鼻厥爸使得同錢分佢因致佢係所有細人肚
15b6rm7ys9,在沙漠肚水係珍貴个保物
15bczd1bxy,攻擊後生个麻達家師个後生人過來綁架厥等
17mrfu6lu3,厥等尋著狼群个腳跡斯在厥等屋家赴近
198d2js42k,為著免濟散傷厥姆在厥面項勾一層粉恁泥勾粉个動作係做阿姆儕展現出愁細人該照顧細人个另外一個層面
1g5hkfdqel,馬里係一個當平个國家無高山使得擎對佢頭嫲來講係一件好事情毋過天時當熱一般溫度差毋多係三十度厥等佢二十分鐘進行當順
1m988wc65w,厥等个祖公無二年文字透過詩歌傳承文化苗族个傳統對舅這代人來講正經當敏感厥等接受教育
1n33wb6vsr,藥師傅个未來無法同瓠下背肚一人个油木文化咧佢高不將愛創造出全新个生活
1nhfxj684f,阿弟伯母當細漢个時節總係看緊厥姆用完全共款个方式做這件事情為著盡話屋佢開始向市州圍燒渡蟲對東片開始到北片結宿
1o9he34hgf,這擺厥等單淨使得買兜燈盞油還有麵粉厥等使毋得買肉因致肉忒貴咧厥等無恁多錢來買
1u99fwlhp0,厥等知每一個聲動作影在路途項使得尋著當多聖靈祈求个所在恁泥使得分厥等个心靈平靜
1x5dgv26ax,這滿係馬來半島北海岸个朝晨七點鐘
20qwhea2y8,第二日打早天甫甫光个時節厥等兄弟兩個既經䟘床咧第一堂課在朝晨七點開始
20z70il70h,乜正經當危險毋過瑪麗阿當失志
2eiyj4zrll,村民盡力來維護佢毋過生路个電纜線還有一兜空過假上目撇个枋逐年這兜橋斯緊來緊歪行
2fy8b75hr2,天光佢愛自家一個人去學校佢當在感受著心肝肚共驚斯像係狼群威脅著厥个情況共款恁日百日正十二歲
2j6gv5szsz,為著交通利便起當多板橋吊橋係泥浜里風景中輒輒看著个部分總共有三千外板橋毋過大部分个縱項專業乜當好
2mmpeo8d2u,恁泥个選擇對家庭來講有當大个影響毋樣講服裝个事情
2mz6me4upg,用傳統个方式打魚學食在無破壞魚个賺講下同魚對魚仰拿出來這係阿妮學著个古老智識代表厥等个獨立性毋過學校會提供佢其他个資源
2qktam4891,這四公里泌毋泌平地个路實際上會過較長因為厥等个莊頭在海拔一千一百公尺个山排項厥等愛穿過當深个山窩山排過還有當竳个路
2r5mqfvjg1,還有有挑戰性个家務事乜係學著生活經驗个一種方式
2u883gprsl,乜有當多無確定性所以厥等在學業方面起得成就感這係成功唯一个路途這點厥等兄弟當清楚
2v40qurft6,恁泥个家庭結構有佢好个一面離佢學校較近進前客底下愛行歸日个路正使得到學校佢無定著斯因致恁泥都無想去學校咧
37rdh7qtc2,藥師傅會改變路線比麼位都搞尞該因為安全个問題
3cry96eb72,奧利福當好運使得做一個小學生佢十歲係屋家七個細人肚第二大漢个倈厥過過前幾年搬到城市該當時佢還係細嬰兒
3dawgzihic,天光球个書包會過較輕毋過去學校个路程會過較長
3i0ht41ega,𠊎中疫合藥若係𠊎認真讀書𠊎想愛做先生去照顧匱人
3p8ezfrgu1,若講厥等在學校同其他學生共下个時節使得過較讀顯厥等个族群
3r2j10m0ii,去學校个路項直皮發生變化都算看著水載个時節心情總係當歡喜厥等愛離開輒輒行个細路正使得來到目的地水載
3t41ziuaos,這種當無道理个文化影響細倈厥等在當細漢个時節斯學曉仰脣求生該係因致安全个考量厥等戴在愛輒輒出海个地區
3u79cjuy85,阿耳巴耳同厥朋友見面个時節佢毋會著切無照阿爸个方式
3ve9aipn02,奧里福還係無放心
408qfmohm0,教育个品質爭差乜當大細人戴在偏皮个山區係位在較差个環境絕地爸決題卡當榮幸使得同厥朋友共下去學校讀書
43j5j6m3c4,𠊎希望將來吾細人使得去讀書
43soi3vwy6,𠊎想愛做一個醫生吾等莊頭肚有一間藥房但食食鼻當毋好莊項有當多人破病咧𠊎想啊在這開一間醫院
43usddeh5h,這臺鐵馬當無幾久因致既經正幾下擺咧馬里阿哥會將在無擋車个情況之下繼續騎鐵馬因為還有四公里个路愛行
44axn0w6qe,朝脣七點日頭既經出來一站時間咧等會个一日乜當早斯開始還係愛做緊厥開水个事
49hjxak9j5,同其他个印度學生共款得圍上課个時間係拜一到拜五今晡係禮拜乜係從八踏春个四十日所以佢跈緊阿姆去遶遶嚟
4b32khog0h,行在未知个路項厥離愛當細義乜愛細心細意觀察著四周圍个環境
4c9nzc3r8i,瑪麗阿圍絡泥矻屙褲三個準時到學校厥等同經過个事情專毋記得咧這係厥等逐日去學校定著會經過个過程
4et6laedpz,當早斯斷烏咧暗夜厥爹厥奶請隔壁鄰舍來食夜
