錄音檔檔名,辨認出之客語漢字
01v0pepghx,對後生个細妹來講無人講古本見恁定毋擱猶會鼓勵見个山吂造成真多快樂
03qw9gfad7,食到幾借著嘛毋會好啊
0517k9bwki,阿依百日走身就問戲學教驚會當燒遐個安全今日早愛囥電視和郵出家一個月行自家當到个挑戰神毋管堵到仰子想嚷遐場囥
06xbdbd3gz,放學了後即愛起緊撿麻共下轉戲會較个路
07ql6yzb0h,阿依百日離開兩點鐘咧口味料理一切當順利機長會討半點鐘了後就你討擎手掌面頭請
090ps16ike,即成為今日幾時日出到當講有買當歡喜來研究即拁出口个烈屎和又唊挾出身擱和又遐兜人為來厥家動力來分傳遐偉大時制
0ahk6aek25,阿依半日當下都在走个感覺當自由有一張本機動鎖有個緊張親事放落來个自由起吂盼過今日幾時山盲
0cfhwfl3xg,討較大漢一雙个細日比開正經愛真行尋尾个黏準或較儘細漢个細日茄樹胐會起鐵馬戲學教目線對基來講
0clienyt79,這係為一本細人討全管單淨百分子二十九即係寫个後生人賭正拁頭那國家尋到講著个機會
0czwjq54on,討滿在遐時遐取水係一件當挑戰个事情單淨百分子十二個恁口有水好食得口井係淨俐水為一個來日毋係這地區為一個人食合个所在
0k8a0yg82n,這滿揪熟事理擱寒日即按幾緊行到一半咧對三個後成個細阿妹來講按這個路請寒床當准時
0m7u46n4eg,會著兜泥楓著樹
0tx1svf3k5,知到風險了後煞擘裡討阿依講當晝以前毋會著秋生三個日會用節納屎
0uoqh558bl,今日無隔火定著愛尋到房十來正相同個攔囥那麼阿女定著會著過係學教个時間
0ve4o73w7f,挾掃本間个涼茄一茄係緊急場囥發生死食个樣流个一茄係食个莫湯屙裡戽當沙皮挾掃食个糖尖畚箕核指揮係所有事恁堵
15b6rm7ys9,討射無堵隨係尋佢遐保護
15bczd1bxy,講緊後生个嘛在遐時遐後生人過來放假見个
17mrfu6lu3,得你尋到攏弓个腳尖食討見个屋下福氣
198d2js42k,為到面子誠相結密討結民巷過一千分恁个過分个湯早係著暗个石得賢人笑勢人擱照顧勢人遐鬧外一個參議
1g5hkfdqel,瑪麗係一個當病个厥家無過山即得蕨對騎鐵馬來講係一件好事情毋過電視當月一半溫度差不多係三十度決定氣二十分鐘進行當晝
1m988wc65w,今日个主公無恁願溫習透過書過全身溫化描著個傳統對舊猶代人來講真緊張慢敢今日接受教養
1n33wb6vsr,要食付個回來無法度符合歸毒有恁多幼膴文化咧基哥會像愛創造出全新个生活
1nhfxj684f,阿依半日當細漢遐時間總係寬緊儉个用完全共款个方式做這件事情為到進化無即開始學四足味食个圖像對動片開始到八片結屎
1o9he34hgf,這擺今日等請隨得莫得點贊助和有免費今日生得莫仰仰子仰忒佢咧今日毋會恁擇錢來莫
1u99fwlhp0,幾年底尾一個星動作影討路通項即得真多當到神靈起求个所在恁係實在本間哪個神靈品尋
1x5dgv26ax,這滿係莫來半倒北海南个走順即恬重
20qwhea2y8,第二日打早跈瓠瓠講個時節今日想提兩個基金和創禮第一趁課討照順即恬開始
20z70il70h,毋係真緊擋危險毋擱瑪麗仔擋食肢
2eiyj4zrll,著面伸入來个衛福箕毋過成六個鐵南線和猶一粒共擱加上無別个枋得月這粒箍即緊來緊外行
2fy8b75hr2,聽講記愛即拁一個人戲學教記當討感受到心肝肚腫驚實際係攏腹會嚇到遐個情況共款阿依背泥正十二歲
2j6gv5szsz,為著交通利便起擋到半箍吊箍係哪篷蟻風景中接觸到个部分總共有三千外半箍毋過大部分个場囥總毋會擋好
2mmpeo8d2u,按這個形態對家庭來講有當大个影響會用講服裝个事情
2mz6me4upg,用傳統个方式打穀學習著無破壞五個常況下討毋頓毋會罅出來這阿依學到个孤老自信代表見个同力心毋擱學教會提供給其他个資源
2qktam4891,這四公里比毋係平地遐路實際想會擱較暢因為見哪個莊頭脫海派一千一百公尺个山派項見个愛全國當尋個山禾山派擱寒日當天个路
2r5mqfvjg1,和用油桃現成个隔膜樹嘛係學到生活經驗遐種放心
2u883gprsl,會有當到無確定性所以今年討捍業方面即得新手柑這係成功尾一個路逐在恬今年向地當親子
2v40qurft6,恁个家庭結構有記好遐一面離幾學教較近進出个決定卡愛行歸哪個路正隨得擇學教今日無聽著隨應一恁个討無想起學教咧
37rdh7qtc2,要順序會改變路線比毋會到交流佢因為安穿遐門地
3cry96eb72,阿里服當好用隨得做一個小學生幾十歲係麼个七個歲恁堵第二大漢遐來遐擱前幾年半到生死遐當時幾寒係節安啊
3dawgzihic,聽講九個手包會擱較輕毋擱係學遐個路線會擱較暢
3i0ht41ega,𠊎像一遐陽若係𠊎人真特殊𠊎想討著神仙翕照顧快人
3p8ezfrgu1,若講今年討學教同其他學生共下个時間即得國家出現今年个出口
3r2j10m0ii,係學教个路行出皮發生變化都算擐到隨在遐時間心情總係當歡喜見人愛離開接一行個細路正隨來來到目的地隨在
3t41ziuaos,猶像當無討這個文化影香事若驚恁討當細漢遐時節嗄學校仰子抽出遐係仁字安全个考量竟然得討愛輒輒出害遐地區
3u79cjuy85,阿依背日討挾朋友見面遐時間今會輒輒無走阿伯个房身
3ve9aipn02,屙一副行係無防心
408qfmohm0,遐有個品質爭差無當代細人蹛討便皮个山區係為討較差个環境溪鰱溪地下當有你食个通夜朋友共下戲學教讀書
43j5j6m3c4,𠊎希望像來𠊎細人實在係特殊
43soi3vwy6,𠊎想愛做一個醫生𠊎年長頭肚又一間藥房但是食皮當毋好總好有當到恁破病咧𠊎想討量開一間醫院
43usddeh5h,猶對鐵馬擋毋會幾久仁姊擊緊正擊下擺咧莫理阿哥會像討毋會擋惜个情況自下繼續騎鐵馬因為猶有時講這個路愛行
44axn0w6qe,照順即恬日頭幾緊出來一站時間咧得每個一日會當早即開始寒係愛早緊擎開水遐時
49hjxak9j5,和其他个印度學生共款得位上課个時間係拜一到拜五今日係禮拜嘛係像百搭伸个四十日所以即天氣暗个氣流流呢
4b32khog0h,行討回知個路行經理愛當細義會愛細心細義觀察到時務這個款金
4c9nzc3r8i,莫俐啊為落哪件愛俐服三個準時都學教今年討經過个十七節毋記得咧這係今年得人戲學教定著會經過个擱請
4et6laedpz,當早嗄斷屋裡暗夜唊打唊嚴請遐領輪鞋來失夜
4h9wybdplj,驚會客人一食到這係隊畏得个有時毋擱討全怪个場間下拚會莊下恁个雖然印度討二六一零月通過一項法律保證全面接受五十千個義務教養
4mi4f5ickm,用書袋當好擎著面个鑢一日擎鑢又當好遐技巧隨得行著當起個山路歇到好交
4naxct37t0,實在當歇睏幾臆卵幾緊孵出來咧有兩隻鳥子幾位出子咧
4oemzzup5z,夜夜一擺伯林喊又一個動物市場離約十四個屋下大約十五公里
4rsb64lk4u,這兜子炭係藥食服和有壓个石卵討食物供原間供食基地發現一般係和吂飲飽个
4sg3h9duid,以細粒供隨輒輒通見哪個禾打壞盼跋得樹大人毋行通見个安姪漢行尖到見哪個土地細日得人告到本人會嫌遐性犯
4v8v3jq3y3,這滿係暗部時頭八點經過滿長遐一日火燃歇冷當想愛黏時隨無屙鑊當硬确擊別火燃歇冷討起煮飯遐時間定著愛討起屎胐若出來
4yhlz2o87p,這兜秧尾會對田店經驗見个一家还有紅較大个細節秧尾會為金水蕨鑢鑢鑽
4z1er2q9lu,寒天見个時代𠊎哥切短个雲桶成偎下會比冷行五十度寒較低毋擱見个靜靜个地面毋會寒係一種烏青个黏色紙即係卵
566lqsucmg,求起喝咬个時間總係行到頭前还有係第一個對山坪崠囥到喝咬个日
58q8jvmzeb,為一個井水這係提供兩百七十分人遐食个水
5af92n34fl,著傷假時係泥㪐屁在遐個莊頭偎結好𪊎結好教識討好𪊎个哪外一片
5kb6qz04sk,毋擱借這會當硬囥
5r54d017hh,直直到記憶勢在精神照顧今年為止擊通紀念保證若講記憶勢在做神聖即會倒轉來這位照顧今年猶望想係討張篤開一間五十千個醫療中心
5uy7yb5zq9,來一合兩所有婆病个人這即係𠊎尋大个願望所以𠊎一定會好好讀書
5yyhl7iy3t,伸到三十分鐘都隨得準時來到約十四個學校
60yurdzjrb,係福氣个行行个作業係問題寄無法度款請派坐公車認證毋實時即愛一時別儕尋就猶遐係今日希望姊妹隨得同力派用所有生活个紀念
62t2h14etq,當好用遐係隨遐禾理解難个學教當空
6385xy4q6s,進前上課日係學教讀習係阿女借爺哀負責毋起個價值
65tasfsw3l,球通結細落尾金牙毋管仰子會三個月共下係學教又會見个會堵到求親好个朋友受治理
67i8khtjag,實際係借家庭作業共款刻這卡總係準使用大成通驚會客人講幾愛戲學教咧得人走手藝有十個世人離開莊頭阿妹總係提醒見个
67vcbgtqk9,𠊎尋好个即係長角
69t0mzw3p8,球確定即拁它行這條細路定著會贏到挑戰
6bdeb64y22,係學教進出个做好準備係當重有个事情攏阿㓾轉豬腔略頭那無毋管係討屋下抑係討學教佮人个情景正經當重有先生得人會檢查學生个學著日用
6cvxpg5hlf,起定著愛學校提呺輪膨風這位單淨兩梯鐵馬本三個細人來企莫里仔企細梯鐵馬阿里副飛落泥刻騎臺退个飛對英福脫血个長巷
6k528z0ka0,來算借這幾緊動機變做火盤个這跡位行係當硬囥
6l9kuzh4gi,打早洗浴係固定个人生
6p1rb661ad,這隻暗壞落个細蕪得人蹛恁靠來來嘻嘻細蕪囥好來佢愛生平个樣得毋會著傷心肝肚拙當驚因為今日無一個人曉抽出
6yhnlqxzo5,藥食服擊緊管咧認知記得這本性細个屎肘緊
73cn08w00g,這三個後生个細阿妹順路會燕上摸著个成分見毋會跌到麼个恁个姪妾鼓勵見个戲學教讀書向世界打開新方
75fo2ahw2d,藥丹好額偎撿爺路儕人選景動園像成個藥丹較冷演神
75yjufvwdu,教室換新三隻羊蛄兩百五十支南蟻
76a5dk2t62,結密毋使時無法度統計提收
76ftw61kxi,今年愛作決定遐係屙莫一趟抑係井疊啊因為今年單淨尋到一公日所以這公日定著愛繫井籤
78lmudqxcr,真好炕個路係十鐘討印度變今和有手肚隔得萬毒福虹今日係學校个時毋使行過較好炕個路
7edtksmuxa,阿依半日係記得遐兜和吂係學校討受个表老弟表老妹成功堵个影響這對來種個關心即討當沙地會當歡喜來紹介上學个半難傳堵到个無險
7fu4x904mg,阿依百日佢真多擎毋會票咧幾多擎嘴嘴个會客幾多擎泥蹛討罅𠊎一個莊頭踅這個書籽即鑢開補路
7j4yvj0a0w,阿依細妹呢印度社會和家庭生活有關一個事情莊下教本細妹阿依細妹做麼个愛學手術哦得位毋接受阿依若毋會講品个觀念
7svh639qbc,這喉毋講請尋個正隙會有淰淰个水
7wynpdf167,佢個各家个金子總愛輸仰子對著生活有所艱苦今年單淨一個目標細尋自家个能力本世人即得信仰識閒這目標為一個黃樹細个教養
7x7ab2lvaf,𠊎識在遐細義讀書寫字𠊎喊細教今年當到四十
7zzn1pc55q,像係恁个現勢這係一個生存个問題咳嗽攏供其中一隻拁攏削到留其他拁攏拾會做判毋會嚴理這位討按日半日想好個前一日
8146fcdu7i,共氣像个食塗本時期和較像結一下晝電視熱發發文圖有四十圖安高
84emkd864f,上巷又難一個囥除了停著請供雞到以外無其他个辦法
85bdk0nf5b,這半箍本房菜壞蹛个
86vgwjatgx,今過五點鐘嗄日跳了後今日和係又當到隨即愛做第一今日定著愛聽講學校規定个資訊还有見著愛復習功課
8b0qymg3uh,夾把西瓜得佢擱捍有擎老妹隨得通擎花跈入面毋會本気失望
8l48bfo6t7,擱算到尾見个單淨實个定做家務爺爺愛喊係本機器學教讀書見人知手腳有當重有
8mv7ajolu6,即當下討記堵多个細日講華了解見恁幾無票鼓勵見恁嗄吂著食去養蕹箱
8qvlnyu835,即愛聽佮人來講毋使燒忒多还有今个會允死到好交
8szhxwveaj,想討對眼拁若即討擱這成想和愛保有毋會變相
8wrma2qdc3,藥食服滴一個好所在毋擱這當危險猶得社攔當犯掃飛到到遐片定即愛偷走入去醫生列遐軍事基地
91p1e1yums,毋擱遐擺有交間个愛仰子賞平面
94k110k25t,這怪遐個細來總愛向佢復大勢得遐個成法肚莊下係細妹即有當到遐姊妹進逐日恁穢細妹日無幾多個伴子
98178chgve,係學校之前擊尋佮同學
985qlrovdb,在恁个情況下見个無法度獎會較見个時藥著到麼个咯
98kj9wtchb,阿姊係讀中學老妹係讀小學行個路係無共款个
98lpthe0gp,這尾個細人著係遐摸輪鵲恁多都識得子孫攪揪
9b5qngnxgp,阿伯討恁多妹輒輒討論到這件事情來慣手指引感賣資力見个學習夾百了解印度即搶个嚴重現實會經過這兜尾愛擱較努力正有機會出頭天
9batvlhz04,幾多擎香地阿德石崠尋到一張房身細孔䀴金手物品擱用錢金賣出戲來傳導師傢
9bgtlmw6ft,通大部分拁阿哲國家文化共款討入學院个家庭係當重猶个刻地卡通挾打挾弄當晝金會當依來挾打挾弄舊日恁八百會為大家學教
9cmufamtgh,這兩個兄弟一個係十三歲一個係十四歲今日有十個兄弟姊妹和有係攏隔出身个
9dchj9au46,今日係考四个月得會通下怒莫討講今日獎金一兩四十個星
9gka87lax8,提地下討挾片油愛行一點鐘个路大約四公里个路淨正使這兜學教
9iugnqopmt,結婚个愛莫十分和有基本个用品來維持一禮拜个生發
9k4ei1a3vg,擱算幾當下這兜山毋過今个日負敢實在演出客爺愛个成發方式即可能會做出離開个決定
9peexfe2i5,大家作係手著个禾地內係斗月世界地內地板又無著蚊猶無遐放
9slitqn1jv,苦難歇睏想愛著春獎
9v9zvn18mm,割禾長愛分開个情況自下打電話即得聯絡兩子爺个感情阿爸會即得借這機會完成無个功課恁其實在學校歇熱係人真讀修个好學生
9w699qfi9d,遐見哪個有落槍
9x9phdgw6b,今日討路行點半點鐘咧大擺個挑戰作禾會本間个輪迴當多個時間這對南西寮上會發生麼个狀況今日罕有時間
DF205J2067_001,五月節愛食粽
DF205J2067_002,寒到愛戴嘴揞
DF205J2067_003,目淰尾毋傷傷
DF205J2067_004,這手機幾多號
DF205J2067_005,額光課做好吂
DF205J2067_006,𠊎會細義兜
DF205J2067_007,當歡喜恁失目
DF205J2067_008,實在和難相成
DF205J2067_009,這個想法真好
DF205J2067_010,勞力遐個照顧
DF205J2067_011,四點哦四五點
DF205J2067_012,目孝無無問題
DF205J2067_013,𠊎一下食淨菜
DF205J2067_014,𠊎想學做麵包
DF205J2067_015,毋愛食麼个飲料
DF205J2067_016,阿松毋慣著西裝
DF205J2067_017,這皮包係毋會恁个
DF205J2067_018,這算係無幾下降
DF205J2067_019,臺灣不時有地動
DF205J2067_020,猶會拁面相擋正
DF205J2067_021,這尾駛到食煙
DF205J2067_022,上課毋好當無申
DF205J2067_023,今比日現時意好
DF205J2067_024,昨比人無捍歸人
DF205J2067_025,電視變到疏涼爽
DF205J2067_026,聽講照順正聯絡
DF205J2067_027,老妹背手包學學校
DF205J2067_028,阿妹當學識菜頭粄
DF205J2067_029,阿伯愛起新青護照
DF205J2067_030,停停行毋使關緊
DF205J2067_031,寒天北部長在落雨
DF205J2067_032,毋好飛到這來失志
DF205J2067_033,係面恁打來个電話
